sdt_sample_name	sdt_location_name	date	depth_meter	latitude_degree	longitude_degree	region
FW126-7-25-12	FW-126	2012-07-25	13.687044	35.977358	-84.273414	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 92
TPB16-81-11-28-12	TPB16	2012-11-28	4.355592	35.975643	-84.274687	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 81
FW109-35-61-11-14-12	FW-109-35	2012-11-14	10.209276	35.977374	-84.273577	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 61
GW101-11-13-12	GW-101	2012-11-13	4.35864	35.97732	-84.274117	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 27
FW021-7-26-12	FW-021	2012-07-26	5.978652	35.977747	-84.272033	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 46
FW510-26-11-26-12	FW-510	2012-11-26	7.104888	35.978585	-84.272082	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 26
GW804-13-2-11-13	GW-804	2013-02-11	5.6388	35.99152444	-84.24405271	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 13
GW127-16-11-26-12	GW-127	2012-11-26	6.33984	35.976405	-84.273424	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 16
GW715-65-2-12-13	GW-715	2013-02-12	11.61288	35.949545	-84.313801	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 65
GW925-68-1-28-13	GW-925	2013-01-28	37.1856	35.970325	-84.287535	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8; Waste Management, Cluster 68
FW301-7-25-12	FW-301	2012-07-25	4.35864	35.941069	-84.336181	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 81
GW526-15-11-27-12	GW-526	2012-11-27	30.7848	35.975102	-84.276907	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 15
GW148-12-17-12	GW-148	2012-12-17	2.46888	35.993332	-84.238597	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 20
FW109-2-7-25-12	FW-109-35	2012-07-25	10.209276	35.977374	-84.273577	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 61
TPB16-7-26-12	TPB16	2012-07-26	4.355592	35.975643	-84.274687	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 81
FW602-2-26-2-11-28-12	FW-602-26	2012-11-28	7.1628	35.974046	-84.278931	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 26
GW066-71-2-20-13	GW-066	2013-02-20	6.64464	35.9708	-84.281617	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 71
GW346-47-11-27-12	GW-346	2012-11-27	18.16608	35.975088	-84.276916	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 47
GW531-83-11-28-12	GW-531	2012-11-28	9.25068	35.973944	-84.281558	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 83
FW303-11-10-23-12	FW-303	2012-10-23	5.382768	35.941139	-84.336279	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 11
GW271-66-2-18-13	GW-271	2013-02-18	8.09244	35.97989558	-84.27058705	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 66
GW125-85-2-20-13	GW-125	2013-02-20	153.0096	35.976523	-84.271975	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 85
GW162-37-2-19-13	GW-162	2013-02-19	28.0416	35.968495	-84.296806	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 37
GW247-7-11-14-12	GW-247	2012-11-14	18.56232	35.9773	-84.272726	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 7
GW921-86-1-28-13	GW-921	2013-01-28	10.0584	35.970344	-84.287507	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8; Waste Management, Cluster 86
GW760-18-1-29-13	GW-760	2013-01-29	16.65732	35.989975	-84.250526	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 18
GW755-69-1-8-13	GW-755	2013-01-08	16.74876	35.994769	-84.242031	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 69
GW800-12-12-12	GW-800	2012-12-12	7.51332	35.968949	-84.28178	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 70
