sdt_sample_name	sdt_community_name	genus	phylum	read_count
GW101-7-26-12	GW101-7-26-12 0.2 micron filter	DTB120	DTB120	301.0
GW101-11-13-12	GW101-11-13-12 0.2 micron filter	SCGC_AAA011-D5	Nanoarchaeota	147.0
GW148-12-17-12	GW148-12-17-12 0.2 micron filter	Qipengyuania	Proteobacteria	21.0
GW123-93-11-14-12	GW123-93-11-14-12 0.2 micron filter	JGI_0001001-H03	Acidobacteriota	15.0
FW603-55-12-3-12	FW603-55-12-3-12 10 micron filter	oc32	Proteobacteria	36.0
GW654-0-1-7-13	GW654-0-1-7-13 10 micron filter	Reyranella	Proteobacteria	46.0
GW089-62-1-7-13	GW089-62-1-7-13 10 micron filter	Pedosphaeraceae	Verrucomicrobiota	173.0
GW385-80-2-18-13	GW385-80-2-18-13 10 micron filter	11-24	Acidobacteriota	8.0
GW929-2-11-13	GW929-2-11-13 10 micron filter	uncultured	Spirochaetota	14.0
FW510-26-11-26-12	FW510-26-11-26-12 10 micron filter	Pajaroellobacter	Myxococcota	12.0
GW658-63-1-23-13	GW658-63-1-23-13 10 micron filter	uncultured	Spirochaetota	1630.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	Pseudolabrys	Proteobacteria	19.0
GW148-12-17-12	GW148-12-17-12 10 micron filter	uncultured	Proteobacteria	786.0
GW086-25-12-3-12	GW086-25-12-3-12 0.2 micron filter	uncultured	Proteobacteria	1000.0
GW148-12-17-12	GW148-12-17-12 10 micron filter	Zoogloea	Proteobacteria	23.0
GW531-83-11-28-12	GW531-83-11-28-12 0.2 micron filter	unclassified	unclassified	1334.0
GW283-43-1-29-13	GW283-43-1-29-13 0.2 micron filter	Hydrotalea	Bacteroidota	12.0
GW086-25-12-3-12	GW086-25-12-3-12 0.2 micron filter	Dongia	Proteobacteria	116.0
GW929-2-11-13	GW929-2-11-13 0.2 micron filter	bacteriap25	Myxococcota	74.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	Latescibacterota	Latescibacterota	152.0
GW736-14-12-3-12	GW736-14-12-3-12 0.2 micron filter	PAUC34f	PAUC34f	18.0
GW345-51-11-27-12	GW345-51-11-27-12 10 micron filter	Chthonomonadales	Armatimonadota	7.0
GW383-12-17-12	GW383-12-17-12 0.2 micron filter	RBG-13-54-9	Chloroflexi	22.0
GW654-0-1-7-13	GW654-0-1-7-13 10 micron filter	Anaerolineae	Chloroflexi	3.0
GW223-39-1-8-13	GW223-39-1-8-13 0.2 micron filter	Candidatus_Moranbacteria	Patescibacteria	12.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 10 micron filter	Ellin6067	Proteobacteria	225.0
FW301-81-2-20-13	FW301-81-2-20-13 0.2 micron filter	Candidatus_Ovatusbacter	Proteobacteria	127.0
GW704-5-12-17-12	GW704-5-12-17-12 0.2 micron filter	Variovorax	Proteobacteria	144.0
GW101-7-26-12	GW101-7-26-12 0.2 micron filter	unclassified	unclassified	13249.0
FW106-11-13-12	FW106-11-13-12 0.2 micron filter	MBNT15	MBNT15	527.0
GW715-65-2-12-13	GW715-65-2-12-13 0.2 micron filter	Pedobacter	Bacteroidota	258.0
FW106-11-13-12	FW106-11-13-12 10 micron filter	uncultured	Acidobacteriota	195.0
GW773-35-2-4-13	GW773-35-2-4-13 0.2 micron filter	Legionella	Proteobacteria	53.0
GW755-69-1-8-13	GW755-69-1-8-13 10 micron filter	RBG-13-54-9	Chloroflexi	74.0
GW621-21-12-17-12	GW621-21-12-17-12 0.2 micron filter	Candidatus_Ovatusbacter	Proteobacteria	97.0
GW384-12-17-12	GW384-12-17-12 10 micron filter	Methyloversatilis	Proteobacteria	24.0
TPB16-7-26-12	TPB16-7-26-12 0.2 micron filter	uncultured	Acidobacteriota	44.0
FW301-7-25-12	FW301-7-25-12 0.2 micron filter	Latescibacteraceae	Latescibacterota	36.0
GW089-62-1-7-13	GW089-62-1-7-13 10 micron filter	CCM11a	Planctomycetota	401.0
GW085-58-12-3-12	GW085-58-12-3-12 0.2 micron filter	IMCC26256	Actinobacteriota	223.0
GW314-97-2-19-13	GW314-97-2-19-13 10 micron filter	uncultured	Desulfobacterota	219.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	GWE2-31-10	Spirochaetota	3.0
GW636-32-1-28-13	GW636-32-1-28-13 0.2 micron filter	Phenylobacterium	Proteobacteria	138.0
GW800-12-12-12	GW800-12-12-12 0.2 micron filter	Candidatus_Jacksonbacteria	Patescibacteria	2.0
GW066-71-2-20-13	GW066-71-2-20-13 0.2 micron filter	Candidatus_Solibacter	Acidobacteriota	6.0
FW301-7-25-12	FW301-7-25-12 10 micron filter	BD1-7_clade	Proteobacteria	23.0
FW301-81-10-19-12	FW301-81-10-19-12 10 micron filter	Candidatus_Nomurabacteria	Patescibacteria	50.0
GW101-7-26-12	GW101-7-26-12 10 micron filter	GIF9	Chloroflexi	32.0
FW301-7-25-12	FW301-7-25-12 0.2 micron filter	Salinispira	Spirochaetota	8.0
GW127-16-11-26-12	GW127-16-11-26-12 0.2 micron filter	MND1	Proteobacteria	670.0
GW779-8-2-18-13	GW779-8-2-18-13 10 micron filter	Defluviicoccus	Proteobacteria	59.0
GW526-15-11-27-12	GW526-15-11-27-12 0.2 micron filter	Sulfurifustis	Proteobacteria	310.0
GW803-31-1-23-13	GW803-31-1-23-13 0.2 micron filter	Candidatus_Solibacter	Acidobacteriota	8.0
GW754-40-1-7-13	GW754-40-1-7-13 0.2 micron filter	Lineage_IV	Elusimicrobiota	732.0
FW106-11-13-12	FW106-11-13-12 10 micron filter	Lineage_IV	Elusimicrobiota	227.0
GW057-10-1-8-13	GW057-10-1-8-13 0.2 micron filter	JG30-KF-CM66	Chloroflexi	23.0
GW639-90-1-23-13	GW639-90-1-23-13 0.2 micron filter	Desulfurivibrio	Desulfobacterota	23.0
GW754-40-1-7-13	GW754-40-1-7-13 0.2 micron filter	Sericytochromatia	Cyanobacteria	7.0
FW301-81-10-19-12	FW301-81-10-19-12 10 micron filter	TRA3-20	Proteobacteria	67.0
GW246-1-11-26-12	GW246-1-11-26-12 0.2 micron filter	Subgroup_2	Acidobacteriota	704.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 10 micron filter	Gitt-GS-136	Chloroflexi	45.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Candidatus_Ovatusbacter	Proteobacteria	9.0
GW754-40-1-7-13	GW754-40-1-7-13 0.2 micron filter	Lineage_IIa	Elusimicrobiota	1111.0
GW384-12-17-12	GW384-12-17-12 0.2 micron filter	Novosphingobium	Proteobacteria	108.0
FW602-2-26-2-11-28-12	FW602-2-26-2-11-28-12 0.2 micron filter	bacteriap25	Myxococcota	4011.0
GW755-69-1-8-13	GW755-69-1-8-13 0.2 micron filter	unclassified	unclassified	975.0
FW126-7-25-12	FW126-7-25-12 10 micron filter	Lineage_IV	Elusimicrobiota	158.0
FW300-59-10-19-12	FW300-59-10-19-12 10 micron filter	Parablastomonas	Proteobacteria	34.0
